label,avg_query_time,num_distinct_values
none,0.7874276876449585,1
Site,0.10395171642303466,16
Species,0.020617365837097168,99
Year,0.029865717887878417,66
Observer,0.006043910980224609,269
ageMethod,0.4342249631881714,3
"Site,Species",0.0011134386062622071,1584
"Site,Observer",0.0004337310791015625,4304
"Species,Observer",8.294582366943359e-05,26631
"Year,Observer",0.00011124610900878907,17754
"Observer,ageMethod",0.0021742582321166992,807
"Site,Species,Observer",4.901885986328125e-05,422204
"Site,Species,Year",5.8078765869140624e-05,104544
"Species,Year,Observer",4.880428314208984e-05,1194003
"Site,Species,Year,Observer",4.7206878662109375e-05,1930842
